,0
573,안진과산화수소수
574,안진찐크유
575,안진크레솔비누
576,스피다
577,메이메콜캅셀
578,토코팔
579,푸레사린에이
580,안티멘톨
581,게브롤에프
582,대왕진삼봉비정대왕진삼봉분
583,고노삽에스뇨도좌약
584,바타론이
585,헤모칼슘
586,몰트비타톤
587,포바퀸
588,베타솔에이
589,푸로피린캅셀
590,안일간유드롭
591,건위황
592,경향염산치아민
593,아크라민
594,동대폴리에칠렌글리콜
595,헥사존
596,콜베이스
597,나이아
598,동대비타민비투
599,울트라프록트
600,울트라프록트
601,판데린
602,헤모리바캅셀
603,비콤바인
604,현대크레졸
605,에나톡
606,녹삼대보탕
607,엔티부이캅셀
608,샤인
609,키소메타
610,건위황
611,멘솔파스
612,아이티아
613,푸로마진
614,박트림
615,박트림
616,판타제내복
617,파라킬
618,푸렌씨
619,동아고려삼
620,타치온
621,루비아에스염화세칠피리디늄
622,쎌손로오숀
623,하이웰내복
624,페르트랑킬
625,산토피페라당의정배
626,델타졸
627,델타졸
628,콤반트린정MG
629,콤반트린시럽밀리그람밀리리터
630,경전지황
631,제일숙지황
632,성광하이민
633,라이나
634,사릭스
635,콘택캅셀
636,쎄레스톤지
637,쎄레스톤지
638,마미리진
639,어린이다루당
640,베노민에스캅셀
641,콘솔에이
642,디디나
643,쾌청수
644,솔코세릴
645,페르가렌
646,쿨탑내복
647,가네후랑질
648,키모랄에스
649,윈터
650,푸레마이
651,마이베린
652,캄피날
653,헤파리겐
654,부세판
655,원비원캅셀
656,일양노루모
657,구리
658,훼노락스
659,핑키브이
660,감마토코비론
661,신신에어탄에스
662,물신신파스
663,신신파스에이
664,비타골드내복
665,베니스
666,헬스토내복
667,멀미롱
668,텐달민
669,익수가미녹각사륙탕
670,한중귀용원
671,모나신지
672,피아린케이
673,단학에어러솔ML
674,위롱
675,코푸날에스
676,카날빈
677,파파스콜
678,태고지
679,구리
680,가미음양대보탕
681,훗로숀
682,순기환에스
683,라이트안약
684,푸론탈에스
685,델카스
686,아미코론에이
687,페로민
688,하나푸로나제
689,가미녹각대보
690,스코폴리아엑기스
691,프로파민
692,나이스스투에스
693,베타코트
694,삼성오로친
695,노오바
696,후지그린
697,위시롱
698,크로민비
699,항도크레졸비누
700,항도크레졸수
701,무스캉
702,신또라제
703,히포스탄
704,스프링
705,훼리트린식
706,옥소딘
707,시날라
708,멜푸림
709,가나마이
710,트리아민비
711,노아
712,베이비원기소
713,어린이원기소후르츠
714,아나바시
715,바스콤
716,오인트멘트베이스
717,닥타라제
718,바로딘
719,닥티라제에스
720,테라마이신외용
721,옥사인엠현탁
722,오부라정MG
723,암포젤엠
724,암포젤
725,시메코
726,파네이신케이
727,파이네
728,화이나린소프트
729,감마론
730,기모타부
731,마구닌에쓰
732,스파리콘
733,마스지겐비
734,에이티피장용
735,닥타린파우다
736,닥타린
737,바이탈진생
738,판가민
739,삼영살리실산나트륨
740,아스테민
741,순천당니스타틴질
742,순천당에스킬라
743,순천당차질산비스마스
744,비타칼슘에스
745,히스타롱
746,피아이씨
747,판콜에이
748,푸로타민
749,태화니트로후란토인캅셀
750,아루스홑파우다
751,동성정로환
752,도세란
753,트리도세란
754,산페라진
